Таблица узлов (1)-Учебная версия;;;;;;;;;
;Координаты;;;Связи;;;;;
№ узла;X (м);Y (м);Z (м);X;Y;Z;UX;UY;UZ
1;-54.084301;4.47337;8;-;-;-;-;-;-
2;-55.141399;4.47337;8;-;-;-;-;-;-
3;-54.084301;4.47337;2;-;-;-;-;-;-
4;-55.141399;4.47337;2;-;-;-;-;-;-
5;-24.265699;4.47337;8;-;-;-;-;-;-
6;-23.208599;4.47337;8;-;-;-;-;-;-
7;-24.265699;4.47337;2;-;-;-;-;-;-
8;-23.208599;4.47337;2;-;-;-;-;-;-
9;-60.970001;-23.999969;-2;+;+;+;+;+;+
10;-60.970001;-23.999969;-1;-;-;-;-;-;-
11;-60.970001;-23.999969;0;-;-;-;-;-;-
12;-60.970001;-29.59997;-2;+;+;+;+;+;+
13;-60.970001;-29.59997;-1;-;-;-;-;-;-
14;-60.970001;-29.59997;0;-;-;-;-;-;-
15;-39.169998;-11.99997;-2;+;+;+;+;+;+
16;-39.169998;-11.99997;-1;-;-;-;-;-;-
17;-39.169998;-11.99997;0;-;-;-;-;-;-
18;-39.169998;-17.999969;-2;+;+;+;+;+;+
19;-39.169998;-17.999969;-1;-;-;-;-;-;-
20;-39.169998;-17.999969;0;-;-;-;-;-;-
21;-60.970001;-23.999969;1;-;-;-;-;-;-
22;-60.970001;-23.999969;2;-;-;-;-;-;-
23;-60.970001;-23.999969;3;-;-;-;-;-;-
24;-60.970001;-29.59997;1;-;-;-;-;-;-
25;-60.970001;-29.59997;2;-;-;-;-;-;-
26;-60.970001;-29.59997;3;-;-;-;-;-;-
27;-39.169998;-11.99997;1;-;-;-;-;-;-
28;-39.169998;-11.99997;2;-;-;-;-;-;-
29;-39.169998;-11.99997;3;-;-;-;-;-;-
30;-39.169998;-17.999969;1;-;-;-;-;-;-
31;-39.169998;-17.999969;2;-;-;-;-;-;-
32;-39.169998;-17.999969;3;-;-;-;-;-;-
33;-60.970001;-23.999969;4;-;-;-;-;-;-
34;-60.970001;-23.999969;5;-;-;-;-;-;-
35;-60.970001;-23.999969;6;-;-;-;-;-;-
36;-60.970001;-29.59997;4;-;-;-;-;-;-
37;-60.970001;-29.59997;5;-;-;-;-;-;-
38;-60.970001;-29.59997;6;-;-;-;-;-;-
39;-39.169998;-11.99997;3.72771;-;-;-;-;-;-
40;-39.169998;-11.99997;4.48514;-;-;-;-;-;-
41;-39.169998;-11.99997;5.24257;-;-;-;-;-;-
42;-39.169998;-11.99997;6;-;-;-;-;-;-
43;-39.169998;-17.999969;3.84578;-;-;-;-;-;-
44;-39.169998;-17.999969;4.69157;-;-;-;-;-;-
45;-39.169998;-17.999969;5.34578;-;-;-;-;-;-
46;-39.169998;-17.999969;6;-;-;-;-;-;-
47;-60.970001;-23.999969;7;-;-;-;-;-;-
48;-60.970001;-23.999969;8;-;-;-;-;-;-
49;-60.970001;-23.999969;9;-;-;-;-;-;-
50;-60.970001;-29.59997;7;-;-;-;-;-;-
51;-60.970001;-29.59997;8;-;-;-;-;-;-
52;-60.970001;-29.59997;9;-;-;-;-;-;-
53;-60.970001;-23.999969;9.95;-;-;-;-;-;-
